2024-05-17 23:49:30,508 - ERROR - Error: 400 Client Error:  for url: https://croris.hr/crosbi-api/publikacija/crosbiId
2024-05-17 23:49:30,508 - ERROR - Failed to fetch publication with crosbiId: crosbiId
2024-05-17 23:49:31,096 - INFO - Fetched publication with crosbiId: 304137, status code: 200
2024-05-17 23:49:31,669 - INFO - Fetched publication with crosbiId: 304139, status code: 200
2024-05-17 23:49:32,254 - INFO - Fetched publication with crosbiId: 304142, status code: 200
2024-05-17 23:49:32,830 - INFO - Fetched publication with crosbiId: 304140, status code: 200
2024-05-17 23:49:33,401 - INFO - Fetched publication with crosbiId: 304143, status code: 200
2024-05-17 23:49:33,979 - INFO - Fetched publication with crosbiId: 304145, status code: 200
2024-05-17 23:49:34,561 - INFO - Fetched publication with crosbiId: 304146, status code: 200
2024-05-17 23:49:35,145 - INFO - Fetched publication with crosbiId: 304147, status code: 200
2024-05-17 23:49:35,731 - INFO - Fetched publication with crosbiId: 304148, status code: 200
2024-05-17 23:49:36,315 - INFO - Fetched publication with crosbiId: 304150, status code: 200
2024-05-17 23:49:36,897 - INFO - Fetched publication with crosbiId: 304151, status code: 200
2024-05-17 23:49:37,495 - INFO - Fetched publication with crosbiId: 304155, status code: 200
2024-05-17 23:49:38,066 - INFO - Fetched publication with crosbiId: 304157, status code: 200
2024-05-17 23:49:38,651 - INFO - Fetched publication with crosbiId: 304159, status code: 200
2024-05-17 23:49:39,228 - INFO - Fetched publication with crosbiId: 304160, status code: 200
2024-05-17 23:49:39,814 - INFO - Fetched publication with crosbiId: 304162, status code: 200
2024-05-17 23:49:40,403 - INFO - Fetched publication with crosbiId: 304163, status code: 200
2024-05-17 23:49:40,971 - INFO - Fetched publication with crosbiId: 304165, status code: 200
2024-05-17 23:49:41,549 - INFO - Fetched publication with crosbiId: 304166, status code: 200
2024-05-17 23:49:42,131 - INFO - Fetched publication with crosbiId: 304167, status code: 200
2024-05-17 23:49:42,711 - INFO - Fetched publication with crosbiId: 304168, status code: 200
2024-05-17 23:49:43,300 - INFO - Fetched publication with crosbiId: 304170, status code: 200
2024-05-17 23:49:43,878 - INFO - Fetched publication with crosbiId: 304172, status code: 200
2024-05-17 23:49:44,457 - INFO - Fetched publication with crosbiId: 304174, status code: 200
2024-05-17 23:49:45,048 - INFO - Fetched publication with crosbiId: 304175, status code: 200
2024-05-17 23:49:45,634 - INFO - Fetched publication with crosbiId: 304176, status code: 200
2024-05-17 23:49:46,219 - INFO - Fetched publication with crosbiId: 304178, status code: 200
2024-05-17 23:49:46,808 - INFO - Fetched publication with crosbiId: 304180, status code: 200
2024-05-17 23:49:47,398 - INFO - Fetched publication with crosbiId: 304177, status code: 200
2024-05-17 23:49:47,992 - INFO - Fetched publication with crosbiId: 304182, status code: 200
2024-05-17 23:49:48,578 - INFO - Fetched publication with crosbiId: 304186, status code: 200
2024-05-17 23:49:49,166 - INFO - Fetched publication with crosbiId: 304193, status code: 200
2024-05-17 23:49:49,761 - INFO - Fetched publication with crosbiId: 304194, status code: 200
2024-05-17 23:49:50,355 - INFO - Fetched publication with crosbiId: 304195, status code: 200
2024-05-17 23:49:50,935 - INFO - Fetched publication with crosbiId: 304196, status code: 200
2024-05-17 23:49:51,534 - INFO - Fetched publication with crosbiId: 304198, status code: 200
2024-05-17 23:49:52,122 - INFO - Fetched publication with crosbiId: 304202, status code: 200
2024-05-17 23:49:52,705 - INFO - Fetched publication with crosbiId: 304208, status code: 200
2024-05-17 23:49:53,297 - INFO - Fetched publication with crosbiId: 304226, status code: 200
2024-05-17 23:49:53,888 - INFO - Fetched publication with crosbiId: 304235, status code: 200
2024-05-17 23:49:54,481 - INFO - Fetched publication with crosbiId: 304264, status code: 200
2024-05-17 23:49:55,073 - INFO - Fetched publication with crosbiId: 304263, status code: 200
2024-05-17 23:49:55,672 - INFO - Fetched publication with crosbiId: 304265, status code: 200
2024-05-17 23:49:56,257 - INFO - Fetched publication with crosbiId: 304267, status code: 200
2024-05-17 23:49:57,222 - INFO - Fetched publication with crosbiId: 304268, status code: 200
2024-05-17 23:49:57,819 - INFO - Fetched publication with crosbiId: 304271, status code: 200
2024-05-17 23:49:58,406 - INFO - Fetched publication with crosbiId: 304272, status code: 200
2024-05-17 23:49:59,003 - INFO - Fetched publication with crosbiId: 304273, status code: 200
2024-05-17 23:49:59,591 - INFO - Fetched publication with crosbiId: 304275, status code: 200
2024-05-17 23:50:00,176 - INFO - Fetched publication with crosbiId: 304276, status code: 200
2024-05-17 23:50:00,764 - INFO - Fetched publication with crosbiId: 304277, status code: 200
2024-05-17 23:50:01,356 - INFO - Fetched publication with crosbiId: 304278, status code: 200
2024-05-17 23:50:01,950 - INFO - Fetched publication with crosbiId: 304279, status code: 200
2024-05-17 23:50:02,533 - INFO - Fetched publication with crosbiId: 304280, status code: 200
2024-05-17 23:50:03,124 - INFO - Fetched publication with crosbiId: 304281, status code: 200
2024-05-17 23:50:03,709 - INFO - Fetched publication with crosbiId: 304283, status code: 200
2024-05-17 23:50:04,295 - INFO - Fetched publication with crosbiId: 304285, status code: 200
2024-05-17 23:50:04,883 - INFO - Fetched publication with crosbiId: 304287, status code: 200
2024-05-17 23:50:05,468 - INFO - Fetched publication with crosbiId: 304294, status code: 200
2024-05-17 23:50:06,044 - INFO - Fetched publication with crosbiId: 304296, status code: 200
2024-05-17 23:50:06,636 - INFO - Fetched publication with crosbiId: 304301, status code: 200
2024-05-17 23:50:07,228 - INFO - Fetched publication with crosbiId: 304300, status code: 200
2024-05-17 23:50:07,815 - INFO - Fetched publication with crosbiId: 304303, status code: 200
2024-05-17 23:50:08,404 - INFO - Fetched publication with crosbiId: 304304, status code: 200
2024-05-17 23:50:08,997 - INFO - Fetched publication with crosbiId: 304305, status code: 200
2024-05-17 23:50:09,591 - INFO - Fetched publication with crosbiId: 304306, status code: 200
2024-05-17 23:50:10,179 - INFO - Fetched publication with crosbiId: 304307, status code: 200
2024-05-17 23:50:10,769 - INFO - Fetched publication with crosbiId: 304308, status code: 200
2024-05-17 23:50:11,358 - INFO - Fetched publication with crosbiId: 304310, status code: 200
2024-05-17 23:50:11,953 - INFO - Fetched publication with crosbiId: 304314, status code: 200
2024-05-17 23:50:12,545 - INFO - Fetched publication with crosbiId: 304317, status code: 200
2024-05-17 23:50:13,134 - INFO - Fetched publication with crosbiId: 304318, status code: 200
2024-05-17 23:50:13,725 - INFO - Fetched publication with crosbiId: 304319, status code: 200
2024-05-17 23:50:14,314 - INFO - Fetched publication with crosbiId: 304321, status code: 200
2024-05-17 23:50:14,902 - INFO - Fetched publication with crosbiId: 304323, status code: 200
2024-05-17 23:50:15,492 - INFO - Fetched publication with crosbiId: 304327, status code: 200
2024-05-17 23:50:16,062 - INFO - Fetched publication with crosbiId: 304328, status code: 200
2024-05-17 23:50:16,655 - INFO - Fetched publication with crosbiId: 304329, status code: 200
2024-05-17 23:50:17,242 - INFO - Fetched publication with crosbiId: 304331, status code: 200
2024-05-17 23:50:17,834 - INFO - Fetched publication with crosbiId: 304335, status code: 200
2024-05-17 23:50:18,426 - INFO - Fetched publication with crosbiId: 304338, status code: 200
2024-05-17 23:50:19,016 - INFO - Fetched publication with crosbiId: 304339, status code: 200
2024-05-17 23:50:19,604 - INFO - Fetched publication with crosbiId: 304340, status code: 200
2024-05-17 23:50:20,194 - INFO - Fetched publication with crosbiId: 304347, status code: 200
2024-05-17 23:50:20,786 - INFO - Fetched publication with crosbiId: 304349, status code: 200
2024-05-17 23:50:21,376 - INFO - Fetched publication with crosbiId: 304350, status code: 200
2024-05-17 23:50:21,960 - INFO - Fetched publication with crosbiId: 304351, status code: 200
2024-05-17 23:50:22,529 - INFO - Fetched publication with crosbiId: 304358, status code: 200
2024-05-17 23:50:23,112 - INFO - Fetched publication with crosbiId: 304359, status code: 200
2024-05-17 23:50:23,683 - INFO - Fetched publication with crosbiId: 304360, status code: 200
2024-05-17 23:50:24,276 - INFO - Fetched publication with crosbiId: 304362, status code: 200
2024-05-17 23:50:24,860 - INFO - Fetched publication with crosbiId: 304364, status code: 200
2024-05-17 23:50:25,445 - INFO - Fetched publication with crosbiId: 304366, status code: 200
2024-05-17 23:50:26,014 - INFO - Fetched publication with crosbiId: 304371, status code: 200
2024-05-17 23:50:26,600 - INFO - Fetched publication with crosbiId: 304373, status code: 200
2024-05-17 23:50:27,186 - INFO - Fetched publication with crosbiId: 304374, status code: 200
2024-05-17 23:50:27,756 - INFO - Fetched publication with crosbiId: 304375, status code: 200
2024-05-17 23:50:28,343 - INFO - Fetched publication with crosbiId: 304376, status code: 200
2024-05-17 23:50:28,936 - INFO - Fetched publication with crosbiId: 304377, status code: 200
2024-05-17 23:50:29,525 - INFO - Fetched publication with crosbiId: 304378, status code: 200
2024-05-17 23:50:30,113 - INFO - Fetched publication with crosbiId: 304379, status code: 200
2024-05-17 23:50:30,717 - INFO - Fetched publication with crosbiId: 304382, status code: 200
2024-05-17 23:50:31,307 - INFO - Fetched publication with crosbiId: 304383, status code: 200
2024-05-17 23:50:31,877 - INFO - Fetched publication with crosbiId: 304384, status code: 200
2024-05-17 23:50:32,466 - INFO - Fetched publication with crosbiId: 304385, status code: 200
2024-05-17 23:50:33,062 - INFO - Fetched publication with crosbiId: 304386, status code: 200
2024-05-17 23:50:33,659 - INFO - Fetched publication with crosbiId: 304388, status code: 200
2024-05-17 23:50:34,255 - INFO - Fetched publication with crosbiId: 304389, status code: 200
2024-05-17 23:50:34,849 - INFO - Fetched publication with crosbiId: 304390, status code: 200
2024-05-17 23:50:35,432 - INFO - Fetched publication with crosbiId: 304391, status code: 200
2024-05-17 23:50:36,002 - INFO - Fetched publication with crosbiId: 304394, status code: 200
2024-05-17 23:50:36,586 - INFO - Fetched publication with crosbiId: 304395, status code: 200
2024-05-17 23:50:37,175 - INFO - Fetched publication with crosbiId: 304396, status code: 200
2024-05-17 23:50:37,773 - INFO - Fetched publication with crosbiId: 304397, status code: 200
2024-05-17 23:50:38,408 - INFO - Fetched publication with crosbiId: 304398, status code: 200
2024-05-17 23:50:38,982 - INFO - Fetched publication with crosbiId: 304401, status code: 200
2024-05-17 23:50:39,565 - INFO - Fetched publication with crosbiId: 304408, status code: 200
2024-05-17 23:50:40,129 - INFO - Fetched publication with crosbiId: 304410, status code: 200
2024-05-17 23:50:40,700 - INFO - Fetched publication with crosbiId: 304412, status code: 200
2024-05-17 23:50:41,274 - INFO - Fetched publication with crosbiId: 304413, status code: 200
2024-05-17 23:50:41,857 - INFO - Fetched publication with crosbiId: 304414, status code: 200
2024-05-17 23:50:42,437 - INFO - Fetched publication with crosbiId: 304416, status code: 200
2024-05-17 23:50:43,022 - INFO - Fetched publication with crosbiId: 304421, status code: 200
2024-05-17 23:50:43,605 - INFO - Fetched publication with crosbiId: 304423, status code: 200
2024-05-17 23:50:44,182 - INFO - Fetched publication with crosbiId: 304425, status code: 200
2024-05-17 23:50:44,760 - INFO - Fetched publication with crosbiId: 304426, status code: 200
2024-05-17 23:50:45,340 - INFO - Fetched publication with crosbiId: 304427, status code: 200
2024-05-17 23:50:45,919 - INFO - Fetched publication with crosbiId: 304429, status code: 200
2024-05-17 23:50:46,506 - INFO - Fetched publication with crosbiId: 304438, status code: 200
2024-05-17 23:50:47,102 - INFO - Fetched publication with crosbiId: 304439, status code: 200
2024-05-17 23:50:47,687 - INFO - Fetched publication with crosbiId: 304440, status code: 200
2024-05-17 23:50:48,264 - INFO - Fetched publication with crosbiId: 304441, status code: 200
2024-05-17 23:50:48,845 - INFO - Fetched publication with crosbiId: 304442, status code: 200
2024-05-17 23:50:49,430 - INFO - Fetched publication with crosbiId: 304444, status code: 200
2024-05-17 23:50:50,017 - INFO - Fetched publication with crosbiId: 304445, status code: 200
2024-05-17 23:50:50,593 - INFO - Fetched publication with crosbiId: 304446, status code: 200
2024-05-17 23:50:51,188 - INFO - Fetched publication with crosbiId: 304447, status code: 200
2024-05-17 23:50:51,770 - INFO - Fetched publication with crosbiId: 304448, status code: 200
2024-05-17 23:50:52,347 - INFO - Fetched publication with crosbiId: 304449, status code: 200
2024-05-17 23:50:52,927 - INFO - Fetched publication with crosbiId: 304450, status code: 200
2024-05-17 23:50:53,502 - INFO - Fetched publication with crosbiId: 304451, status code: 200
2024-05-17 23:50:54,071 - INFO - Fetched publication with crosbiId: 304452, status code: 200
2024-05-17 23:50:54,644 - INFO - Fetched publication with crosbiId: 304453, status code: 200
2024-05-17 23:50:55,237 - INFO - Fetched publication with crosbiId: 304455, status code: 200
2024-05-17 23:50:55,821 - INFO - Fetched publication with crosbiId: 304456, status code: 200
2024-05-17 23:50:56,431 - INFO - Fetched publication with crosbiId: 304458, status code: 200
2024-05-17 23:50:57,030 - INFO - Fetched publication with crosbiId: 304459, status code: 200
2024-05-17 23:50:57,604 - INFO - Fetched publication with crosbiId: 304462, status code: 200
2024-05-17 23:50:58,119 - INFO - Program interrupted by the user.
2024-05-17 23:56:56,758 - ERROR - Error: 400 Client Error:  for url: https://croris.hr/crosbi-api/publikacija/crosbiId
2024-05-17 23:56:56,758 - INFO - Retrying in 2.27 seconds...
2024-05-17 23:56:59,105 - INFO - Fetched publication with crosbiId: 304137, status code: 200
2024-05-17 23:56:59,689 - INFO - Fetched publication with crosbiId: 304139, status code: 200
2024-05-17 23:57:00,268 - INFO - Fetched publication with crosbiId: 304142, status code: 200
2024-05-17 23:57:00,857 - INFO - Fetched publication with crosbiId: 304140, status code: 200
