,Source,InstitutionX,Target,InstitutionY,ProjectId,Acro,Title,StartDate,TotalCost,Type
87,66,Institut Ruđer Bošković,33,"Institut za fiziku, Zagreb",553,,Prosudba novih bioaktivnih materijala i postupaka u restaurativnoj dentalnoj medicini,2012-03-01,2004.8,undirected
88,66,Institut Ruđer Bošković,46,Stomatološki fakultet,553,,Prosudba novih bioaktivnih materijala i postupaka u restaurativnoj dentalnoj medicini,2012-03-01,2004.8,undirected
89,33,"Institut za fiziku, Zagreb",66,Institut Ruđer Bošković,553,,Prosudba novih bioaktivnih materijala i postupaka u restaurativnoj dentalnoj medicini,2012-03-01,2004.8,undirected
91,33,"Institut za fiziku, Zagreb",46,Stomatološki fakultet,553,,Prosudba novih bioaktivnih materijala i postupaka u restaurativnoj dentalnoj medicini,2012-03-01,2004.8,undirected
92,46,Stomatološki fakultet,66,Institut Ruđer Bošković,553,,Prosudba novih bioaktivnih materijala i postupaka u restaurativnoj dentalnoj medicini,2012-03-01,2004.8,undirected
93,46,Stomatološki fakultet,33,"Institut za fiziku, Zagreb",553,,Prosudba novih bioaktivnih materijala i postupaka u restaurativnoj dentalnoj medicini,2012-03-01,2004.8,undirected
119,66,Institut Ruđer Bošković,79,"Prirodoslovno-matematički fakultet, Zagreb",699,HADRONPHYSICS3,Study of Strongly Interacting Matter,2012-01-01,2004.8,undirected
120,79,"Prirodoslovno-matematički fakultet, Zagreb",66,Institut Ruđer Bošković,699,HADRONPHYSICS3,Study of Strongly Interacting Matter,2012-01-01,2004.8,undirected
139,66,Institut Ruđer Bošković,78,Tekstilno-tehnološki fakultet,786,BIOXYARN,In vitro evaluation of the biocompatibility of nanofibrous yarns from an oxidative stress perspective,2015-12-01,2004.8,undirected
140,78,Tekstilno-tehnološki fakultet,66,Institut Ruđer Bošković,786,BIOXYARN,In vitro evaluation of the biocompatibility of nanofibrous yarns from an oxidative stress perspective,2015-12-01,2004.8,undirected
149,66,Institut Ruđer Bošković,20,"Institut za medicinska istraživanja i medicinu rada, Zagreb",808,CONCERT,European Joint Programme for the Integration of Radiation Protection Research,2015-06-01,2004.8,undirected
150,20,"Institut za medicinska istraživanja i medicinu rada, Zagreb",66,Institut Ruđer Bošković,808,CONCERT,European Joint Programme for the Integration of Radiation Protection Research,2015-06-01,2004.8,undirected
343,66,Institut Ruđer Bošković,34,Fakultet elektrotehnike i računarstva,3483,TETRAMAX,TEchnology TRAnsfer via Multinational Application eXperiments,2018-09-01,2004.8,undirected
344,34,Fakultet elektrotehnike i računarstva,66,Institut Ruđer Bošković,3483,TETRAMAX,TEchnology TRAnsfer via Multinational Application eXperiments,2018-09-01,2004.8,undirected
353,66,Institut Ruđer Bošković,64,"Institut za jadranske kulture i melioraciju krša, Split",3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
354,66,Institut Ruđer Bošković,67,"Institut za društvena istraživanja, Zagreb",3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
355,66,Institut Ruđer Bošković,196,Sveučilište u Zadru,3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
356,66,Institut Ruđer Bošković,163,"Sveučilište Josipa Jurja Strossmayera u Osijeku, Odjel za matematiku",3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
357,66,Institut Ruđer Bošković,259,Sveučilište u Rijeci,3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
358,66,Institut Ruđer Bošković,185,Sveučilište u Splitu,3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
359,66,Institut Ruđer Bošković,154,Fakultet hrvatskih studija,3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
360,66,Institut Ruđer Bošković,199,Mediteranski institut za istraživanje života,3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
361,66,Institut Ruđer Bošković,298,Hrvatsko katoličko sveučilište,3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
362,66,Institut Ruđer Bošković,63,"Staroslavenski institut, Zagreb",3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
363,66,Institut Ruđer Bošković,255,Sveučilište Jurja Dobrile u Puli,3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
364,64,"Institut za jadranske kulture i melioraciju krša, Split",66,Institut Ruđer Bošković,3611,TPTF_ERN,Techno-Past Techno-Future: European Researchers' Night,2018-08-01,2004.8,undirected
